center16_conf_0_05,center16_conf_0_25,center32_conf_0_05,center32_conf_0_25,dataset,gt_h,gt_max_dim,gt_w,gt_xc,gt_yc,height,image,iou10_conf,iou30_conf,iou30_conf_0_05,iou30_conf_0_25,iou50_conf,iou50_conf_0_05,iou50_conf_0_25,lowconf_center16,lowconf_center32,lowconf_iou10,lowconf_iou30,lowconf_iou50,max_iou,max_iou_conf,model,near16_conf,near32_conf,num_preds_low_conf,one2one_s16_score_center,one2one_s16_score_global_max,one2one_s16_score_local_max3,one2one_s16_score_percentile3,one2one_s32_score_center,one2one_s32_score_global_max,one2one_s32_score_local_max3,one2one_s32_score_percentile3,one2one_s8_score_center,one2one_s8_score_global_max,one2one_s8_score_local_max3,one2one_s8_score_percentile3,session,width
True,False,True,False,fixed_exposure,6.87528,6.87528,6.8736,2218.23744,984.45024,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000032.jpg,0.15783216059207916,0.15783216059207916,True,False,0.13655462861061096,True,False,True,True,True,True,True,0.515134250094541,0.13655462861061096,non_p2,0.15783216059207916,0.15783216059207916,2,9.425851071886981e-11,7.156988885981264e-06,5.113562018266293e-09,96.08410493827161,2.61461494883747e-15,1.19784607580109e-11,7.927209405664704e-15,96.83641975308642,0.15783216059207916,0.15783216059207916,0.15783216059207916,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.6376800000000005,6.6376800000000005,5.7446399999999995,2210.6304,971.6111999999999,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000033.jpg,0.7286121845245361,0.7286121845245361,True,True,0.0,False,False,True,True,True,True,False,0.44976684855544463,0.7286121845245361,non_p2,0.7286121845245361,0.7286121845245361,1,6.757807646806668e-10,8.54786230775062e-06,1.3815810717687782e-08,98.10956790123457,1.953167979117771e-15,1.3171481266782692e-11,7.022153854490537e-15,96.75925925925925,2.4585817853964486e-17,0.7286121845245361,0.7286121845245361,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,7.24464,7.24464,6.666239999999999,2202.92736,959.7981599999999,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000034.jpg,0.7205042839050293,0.7205042839050293,True,True,0.0,False,False,True,True,True,True,False,0.41244572526669254,0.7205042839050293,non_p2,0.7205042839050293,0.7205042839050293,1,8.25383872360419e-10,6.596639195777243e-06,1.967254359414028e-09,90.91435185185185,1.40375858672699e-15,8.527687583859134e-11,5.551718634100701e-15,95.67901234567901,1.3981347365188412e-05,0.7205042839050293,0.7205042839050293,100.0,20260707_141324_cam1,3840
True,False,True,False,fixed_exposure,6.78672,6.78672,6.785279999999999,2195.2511999999997,948.96576,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000035.jpg,0.1759263128042221,0.1759263128042221,True,False,0.0,False,False,True,True,True,True,False,0.48772096099953294,0.1759263128042221,non_p2,0.1759263128042221,0.1759263128042221,1,2.6889561757781344e-11,4.657641966332449e-06,3.598183528907839e-09,94.84953703703704,1.7492864075598319e-15,3.728193448404582e-11,6.215709032002768e-15,96.29629629629629,1.70323492056923e-05,0.1759263128042221,0.1759263128042221,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,7.36128,7.361280000000001,7.361280000000001,2187.52512,939.20688,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000036.jpg,0.804401695728302,0.804401695728302,True,True,0.804401695728302,True,True,True,True,True,True,True,0.6924817177911669,0.804401695728302,non_p2,0.804401695728302,0.804401695728302,1,1.861519965951075e-11,4.4466264625953045e-06,8.816605223671559e-09,97.24151234567901,2.609581455548411e-16,1.4832728795211025e-11,2.171249740399073e-15,94.1358024691358,8.228416845668107e-06,0.804401695728302,0.804401695728302,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.40872,6.4089599999999995,6.4089599999999995,2179.85664,930.80232,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000037.jpg,0.29994967579841614,0.29994967579841614,True,True,0.0,False,False,True,True,True,True,False,0.3715737205756815,0.29994967579841614,non_p2,0.29994967579841614,0.29994967579841614,1,5.1405272399884794e-11,5.057484031567583e-06,1.1469165173139118e-08,98.09027777777779,9.835092250565182e-16,2.933859752363155e-11,6.103141317927987e-15,96.06481481481481,1.1411411549033801e-07,0.29994967579841614,0.29994967579841614,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.9919199999999995,6.99264,6.99264,2172.672,923.33736,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000038.jpg,0.5462028980255127,0.5462028980255127,True,True,0.0,False,False,True,True,True,True,False,0.32052895051792746,0.5462028980255127,non_p2,0.5462028980255127,0.5462028980255127,1,7.445362382174636e-11,1.0638319508871064e-05,1.3620535810332512e-09,90.45138888888889,2.1391607971648502e-16,1.1500830149335783e-10,2.984252927239195e-15,94.29012345679013,7.889256088688956e-12,0.5462028980255127,0.5462028980255127,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.6398399999999995,6.6398399999999995,6.63936,2165.38368,917.02584,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000039.jpg,0.618882417678833,0.0,False,False,0.0,False,False,True,True,True,False,False,0.2693907472731018,0.618882417678833,non_p2,0.618882417678833,0.618882417678833,1,8.891735125970968e-10,6.171487711981172e-06,1.0949335882415312e-09,88.90817901234568,2.6861926210122473e-15,3.643066751046753e-11,5.602886200378439e-15,95.67901234567901,5.871492248843424e-06,0.618882417678833,0.618882417678833,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.87312,6.8736,6.8736,2158.1452799999997,911.44224,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000040.jpg,0.4736695885658264,0.4736695885658264,True,True,0.4736695885658264,True,True,True,True,True,True,True,0.5090372032545307,0.4736695885658264,non_p2,0.4736695885658264,0.4736695885658264,2,4.035177053607342e-11,1.7662252503214404e-05,1.4545934456933196e-09,91.30015432098766,9.853305576513517e-16,1.470293331529149e-11,2.7026379774414263e-15,94.44444444444444,1.4345954424399565e-09,0.4736695885658264,0.4736695885658264,100.0,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.756480000000001,6.7584,6.7584,2151.02976,907.17192,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000041.jpg,0.5605147480964661,0.5605147480964661,True,True,0.0,False,False,True,True,True,True,False,0.4032634212212145,0.5605147480964661,non_p2,0.5605147480964661,0.5605147480964661,1,2.3203496901658127e-09,0.00011247966176597401,2.3203496901658127e-09,93.38348765432099,1.8991293946653146e-15,9.41212038862993e-12,6.290969179915734e-15,96.06481481481481,2.114347976214792e-12,0.5605147480964661,0.5605147480964661,100.0,20260707_141324_cam1,3840
