image,frame,gt_dim,iou50_005,center16_low,max_iou_005,max_iou_conf_005,max_iou_low,max_iou_conf_low,nearest_dist,nearest_conf,preds_005,preds_low
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000057.jpg,000057,6.747,False,True,0.39669,0.77245,0.39669,0.77245,0.733,0.77245,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000058.jpg,000058,7.264,True,True,0.72377,0.10766,0.72377,0.10766,0.283,0.12431,4,4
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000059.jpg,000059,6.741,True,True,0.53290,0.08466,0.53290,0.08466,0.144,0.08466,2,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000060.jpg,000060,6.244,False,False,0.00000,0.00000,0.00000,0.00000,411.384,0.00181,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000061.jpg,000061,7.290,True,True,0.84884,0.09427,0.84884,0.09427,0.376,0.09427,4,18
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000062.jpg,000062,6.944,False,True,0.44818,0.72125,0.44818,0.72125,0.996,0.72125,1,5
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000063.jpg,000063,7.008,False,True,0.47026,0.75704,0.47026,0.75704,0.782,0.75704,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000064.jpg,000064,7.027,True,True,0.57961,0.48543,0.57961,0.48543,0.968,0.11358,2,7
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000065.jpg,000065,6.593,False,True,0.46663,0.72500,0.46663,0.72500,0.447,0.72500,1,6
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000066.jpg,000066,7.450,True,True,0.63738,0.73967,0.63738,0.73967,0.486,0.73967,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000067.jpg,000067,6.569,False,True,0.00000,0.00000,0.54476,0.02275,1.341,0.02275,2,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000068.jpg,000068,7.372,False,False,0.00000,0.00000,0.00000,0.00000,348.105,0.00251,2,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000069.jpg,000069,6.633,False,False,0.00000,0.00000,0.00000,0.00000,685.086,0.00163,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000070.jpg,000070,6.102,False,False,0.00000,0.00000,0.00000,0.00000,341.258,0.00133,0,11
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000074.jpg,000074,8.867,False,False,0.00000,0.00000,0.00000,0.00000,356.778,0.00185,2,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000077.jpg,000077,9.716,False,True,0.00000,0.00000,0.00000,0.00000,12.217,0.00374,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000078.jpg,000078,8.387,False,False,0.00000,0.00000,0.00000,0.00000,375.699,0.00165,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000079.jpg,000079,8.410,False,False,0.00000,0.00000,0.00000,0.00000,703.860,0.00113,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000080.jpg,000080,7.677,False,False,0.00000,0.00000,0.00000,0.00000,381.239,0.00228,1,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000083.jpg,000083,7.260,False,False,0.00000,0.00000,0.00000,0.00000,395.757,0.00164,1,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000084.jpg,000084,6.748,False,False,0.00000,0.00000,0.00000,0.00000,401.707,0.00226,1,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000085.jpg,000085,6.007,False,False,0.00000,0.00000,0.00000,0.00000,408.009,0.00892,2,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000088.jpg,000088,7.169,False,True,0.00000,0.00000,0.54660,0.00141,0.602,0.00141,3,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000089.jpg,000089,6.960,False,False,0.00000,0.00000,0.00000,0.00000,431.417,0.00148,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000090.jpg,000090,6.249,False,False,0.00000,0.00000,0.00000,0.00000,777.723,0.00207,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000091.jpg,000091,7.063,False,False,0.00000,0.00000,0.00000,0.00000,110.753,0.00122,1,21
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000092.jpg,000092,6.588,True,True,0.62184,0.15918,0.66220,0.00115,0.379,0.15918,1,7
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000093.jpg,000093,6.977,True,True,0.66953,0.52841,0.66953,0.52841,0.304,0.00204,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000094.jpg,000094,6.534,True,True,0.63667,0.21359,0.63667,0.21359,0.175,0.21359,1,7
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000095.jpg,000095,6.643,True,True,0.63315,0.07335,0.63315,0.07335,0.444,0.16459,2,6
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000096.jpg,000096,6.761,True,True,0.51259,0.18220,0.51259,0.18220,0.674,0.18220,2,6
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000097.jpg,000097,5.610,False,True,0.41282,0.19411,0.41282,0.19411,0.753,0.19411,1,6
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000098.jpg,000098,6.342,True,True,0.63857,0.10833,0.63857,0.10833,0.269,0.00121,1,5
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000099.jpg,000099,6.022,False,True,0.46123,0.39016,0.46123,0.39016,0.751,0.00198,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000100.jpg,000100,5.934,False,True,0.47617,0.23433,0.62526,0.00131,1.058,0.23433,1,9
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000101.jpg,000101,5.789,False,False,0.00000,0.00000,0.00000,0.00000,813.957,0.00200,2,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000103.jpg,000103,6.405,False,False,0.00000,0.00000,0.00000,0.00000,785.688,0.00247,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000106.jpg,000106,6.255,False,False,0.00000,0.00000,0.00000,0.00000,817.494,0.00175,1,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000107.jpg,000107,6.346,False,False,0.00000,0.00000,0.00000,0.00000,818.661,0.00179,1,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000113.jpg,000113,5.627,False,False,0.00000,0.00000,0.00000,0.00000,493.341,0.00398,0,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000114.jpg,000114,6.275,False,False,0.00000,0.00000,0.00000,0.00000,622.082,0.32010,2,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000116.jpg,000116,6.836,False,False,0.00000,0.00000,0.00000,0.00000,509.958,0.00103,0,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000117.jpg,000117,5.759,False,False,0.00000,0.00000,0.00000,0.00000,514.551,0.00728,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000118.jpg,000118,6.108,False,False,0.00000,0.00000,0.00000,0.00000,659.717,0.00262,1,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000119.jpg,000119,6.178,False,False,0.00000,0.00000,0.00000,0.00000,516.849,0.03237,1,18
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000120.jpg,000120,6.152,False,False,0.00000,0.00000,0.00000,0.00000,618.880,0.00114,0,18
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000121.jpg,000121,4.892,False,False,0.00000,0.00000,0.00000,0.00000,520.985,0.00126,1,18
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000122.jpg,000122,5.990,False,False,0.00000,0.00000,0.00000,0.00000,623.929,0.00356,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000123.jpg,000123,5.519,False,False,0.00000,0.00000,0.00000,0.00000,167.178,0.00200,2,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000124.jpg,000124,6.355,False,False,0.00000,0.00000,0.00000,0.00000,627.541,0.00146,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000125.jpg,000125,6.175,False,False,0.00000,0.00000,0.00000,0.00000,534.739,0.00101,1,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000126.jpg,000126,6.307,False,False,0.00000,0.00000,0.00000,0.00000,632.896,0.00184,2,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000127.jpg,000127,5.553,False,False,0.00000,0.00000,0.00000,0.00000,636.710,0.00112,0,10
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000128.jpg,000128,5.776,False,False,0.00000,0.00000,0.00000,0.00000,544.376,0.00120,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000129.jpg,000129,5.277,False,False,0.00000,0.00000,0.00000,0.00000,854.791,0.00124,0,11
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000130.jpg,000130,5.050,False,False,0.00000,0.00000,0.00000,0.00000,855.449,0.00210,0,10
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000131.jpg,000131,4.972,False,False,0.00000,0.00000,0.00000,0.00000,555.655,0.00193,2,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000132.jpg,000132,5.141,False,True,0.00000,0.00000,0.40180,0.00109,1.333,0.00109,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000133.jpg,000133,5.253,False,False,0.00000,0.00000,0.00000,0.00000,846.139,0.00203,1,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000134.jpg,000134,4.851,False,False,0.00000,0.00000,0.00000,0.00000,564.307,0.00387,1,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000135.jpg,000135,4.810,False,False,0.00000,0.00000,0.00000,0.00000,838.700,0.00200,1,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000136.jpg,000136,4.477,False,False,0.00000,0.00000,0.00000,0.00000,571.298,0.00132,2,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000139.jpg,000139,6.914,False,False,0.00000,0.00000,0.00000,0.00000,830.227,0.00214,2,15
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000140.jpg,000140,6.228,False,False,0.00000,0.00000,0.00000,0.00000,869.369,0.00137,2,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000141.jpg,000141,7.124,False,False,0.00000,0.00000,0.00000,0.00000,677.422,0.00128,1,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000142.jpg,000142,7.926,False,False,0.00000,0.00000,0.00000,0.00000,690.462,0.00103,1,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000146.jpg,000146,7.683,False,False,0.00000,0.00000,0.00000,0.00000,711.582,0.00209,0,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000150.jpg,000150,5.403,False,False,0.00000,0.00000,0.00000,0.00000,719.530,0.00122,2,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000151.jpg,000151,6.657,False,False,0.00000,0.00000,0.00000,0.00000,719.243,0.00108,1,11
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000152.jpg,000152,6.664,False,False,0.00000,0.00000,0.00000,0.00000,621.651,0.00134,1,10
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000153.jpg,000153,6.623,False,False,0.00000,0.00000,0.00000,0.00000,793.238,0.00110,1,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000163.jpg,000163,5.971,False,False,0.00000,0.00000,0.00000,0.00000,803.091,0.00160,1,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000164.jpg,000164,5.514,False,False,0.00000,0.00000,0.00000,0.00000,652.784,0.00339,2,14
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000165.jpg,000165,4.927,False,False,0.00000,0.00000,0.00000,0.00000,853.049,0.00108,2,10
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000166.jpg,000166,5.789,False,False,0.00000,0.00000,0.00000,0.00000,658.761,0.00548,2,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000167.jpg,000167,4.644,False,False,0.00000,0.00000,0.00000,0.00000,662.784,0.00795,1,11
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000168.jpg,000168,4.493,False,False,0.00000,0.00000,0.00000,0.00000,666.971,0.03552,0,17
